EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
0.589256,0.393394,-1.58802,0.589256,0.393394,-1.58802,-0.0104439,-0.00590604,-0.017016,13.8538,0.000999999,8.71214e-23,-1.32896e-14,1.09208e-22,0.000999999,1.32912e-14,-1.32876e-14,1.32917e-14,0.000999999
0.58935,0.393372,-1.58817,0.589452,0.393364,-1.58823,-0.01035,-0.00592772,-0.0161651,13.8807,0.000512195,-2.15284e-14,3.10828e-09,-2.15284e-14,0.000512195,-3.21772e-09,3.10828e-09,-3.21772e-09,0.000512195
0.589331,0.393266,-1.58826,0.589297,0.393028,-1.58842,-0.0104687,-0.00603448,-0.0162571,13.8467,0.000359875,1.6025e-14,-4.30593e-09,1.6025e-14,0.000359875,-1.22157e-09,-4.30593e-09,-1.22157e-09,0.000359875
0.589333,0.39323,-1.58826,0.589337,0.393145,-1.58826,-0.0104671,-0.00606964,-0.0162588,13.8538,0.000290717,6.18499e-15,-2.16624e-09,6.18499e-15,0.000290717,-6.14551e-10,-2.16624e-09,-6.14551e-10,0.000290717
0.589291,0.393205,-1.58829,0.589169,0.39313,-1.58838,-0.0105088,-0.00609505,-0.0162895,13.8554,0.000254131,2.88845e-15,-1.20512e-09,2.88845e-15,0.000254131,-3.41888e-10,-1.20512e-09,-3.41888e-10,0.000254131
0.5893,0.393187,-1.58831,0.589331,0.393126,-1.58838,-0.0104996,-0.00611335,-0.0163117,13.8602,0.000233206,1.51257e-15,-7.08581e-10,1.51257e-15,0.000233206,-2.01021e-10,-7.08581e-10,-2.01021e-10,0.000233206
0.589366,0.39314,-1.58841,0.589597,0.392973,-1.58874,-0.0104342,-0.00616042,-0.0164067,13.8756,0.000220702,8.5118e-16,-4.30325e-10,8.5118e-16,0.000220702,-1.22081e-10,-4.30325e-10,-1.22081e-10,0.000220702
0.589368,0.393101,-1.58842,0.589378,0.392959,-1.58848,-0.0104317,-0.00619881,-0.0174216,13.8519,0.000213033,5.01545e-16,-2.66508e-10,5.01545e-16,0.000213033,-7.5607e-11,-2.66508e-10,-7.5607e-11,0.000213033
0.589363,0.393034,-1.58845,0.589341,0.392778,-1.58857,-0.0104375,-0.00626611,-0.0174534,13.8499,0.000208255,3.04398e-16,-1.67063e-10,3.04398e-16,0.000208255,-4.7395e-11,-1.67063e-10,-4.7395e-11,0.000208255
0.589375,0.393045,-1.5885,0.589423,0.39309,-1.5887,-0.0104251,-0.00625457,-0.0175044,13.8479,0.000205249,1.88292e-16,-1.05522e-10,1.88292e-16,0.000205249,-2.99361e-11,-1.05522e-10,-2.99361e-11,0.000205249
0.589355,0.393106,-1.58844,0.589279,0.393342,-1.5882,-0.0104446,-0.00619433,-0.0174418,13.8667,0.000203345,1.17904e-16,-6.69704e-11,1.17904e-16,0.000203345,-1.89992e-11,-6.69704e-11,-1.89992e-11,0.000203345
0.589362,0.393055,-1.58856,0.589337,0.392906,-1.58872,-0.0104379,-0.0062454,-0.0175611,13.8342,0.000202135,1.8626e-14,1.70853e-09,1.8626e-14,0.000202135,1.67807e-09,1.70853e-09,1.67807e-09,0.000202135
0.589434,0.393042,-1.58853,0.589666,0.39294,-1.58874,-0.0103658,-0.00625796,-0.017534,13.8609,0.000201364,-8.03428e-15,-5.93688e-10,-8.03428e-15,0.000201364,2.81435e-09,-5.93688e-10,2.81435e-09,0.000201364
0.589469,0.393052,-1.58848,0.589609,0.393094,-1.58829,-0.0103307,-0.00624757,-0.0174843,13.8658,0.000200872,-4.27806e-15,-3.79132e-10,-4.27806e-15,0.000200872,1.79726e-09,-3.79132e-10,1.79726e-09,0.000200872
0.589435,0.393049,-1.58847,0.589297,0.393036,-1.58843,-0.0103653,-0.00625089,-0.0174741,13.8437,0.000200558,-2.38599e-15,-2.42306e-10,-2.38599e-15,0.000200558,1.14864e-09,-2.42306e-10,1.14864e-09,0.000200558
0.589442,0.393096,-1.5884,0.589525,0.393336,-1.58844,-0.0103581,-0.00620391,-0.0174036,13.8361,0.000200357,-1.059e-14,1.51972e-09,-1.059e-14,0.000200357,-1.00018e-09,1.51972e-09,-1.00018e-09,0.000200357
0.589473,0.393063,-1.58846,0.589596,0.392929,-1.58866,-0.0103272,-0.00623742,-0.0174555,13.8698,0.000200228,-5.99614e-15,9.72063e-10,-5.99614e-15,0.000200228,-6.39752e-10,9.72063e-10,-6.39752e-10,0.000200228
0.589463,0.393109,-1.58847,0.589421,0.393295,-1.58854,-0.0103375,-0.00619098,-0.0174716,13.8612,0.000200146,-3.5179e-15,6.21893e-10,-3.5179e-15,0.000200146,-4.09292e-10,6.21893e-10,-4.09292e-10,0.000200146
0.589434,0.393104,-1.5885,0.589373,0.393028,-1.58832,-0.0103659,-0.00619644,-0.0175048,13.8347,0.000200093,1.54901e-14,-1.33458e-09,1.54901e-14,0.000200093,-1.93393e-09,-1.33458e-09,-1.93393e-09,0.000200093
0.589489,0.393127,-1.58858,0.589707,0.393219,-1.5889,-0.0103113,-0.00617335,-0.0175833,13.8269,0.00020006,8.59104e-15,-8.54004e-10,8.59104e-15,0.00020006,-1.23753e-09,-8.54004e-10,-1.23753e-09,0.00020006
0.589502,0.39309,-1.5886,0.589554,0.392945,-1.58865,-0.0102982,-0.00620975,-0.0175976,13.8386,0.000200038,4.95671e-15,-5.4651e-10,4.95671e-15,0.000200038,-7.91944e-10,-5.4651e-10,-7.91944e-10,0.000200038
0.589486,0.393056,-1.58861,0.58942,0.39292,-1.58867,-0.0103144,-0.00624372,-0.0176125,13.8585,0.000200025,2.95052e-15,-3.49745e-10,2.95052e-15,0.000200025,-5.06813e-10,-3.49745e-10,-5.06813e-10,0.000200025
0.589497,0.393045,-1.5886,0.589543,0.392997,-1.58857,-0.010303,-0.00625549,-0.0176034,13.8654,0.000200016,1.79751e-15,-2.23828e-10,1.79751e-15,0.000200016,-3.24348e-10,-2.23828e-10,-3.24348e-10,0.000200016
0.589501,0.393016,-1.58859,0.589518,0.392904,-1.58854,-0.0102987,-0.00628353,-0.0175911,13.8564,0.00020001,1.11321e-15,-1.43246e-10,1.11321e-15,0.00020001,-2.07577e-10,-1.43246e-10,-2.07577e-10,0.00020001
